Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,Tone,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,UK_DStar_VHF_Rpt,ABERDEEN,SCOT-DsRp,GB7GD  C,GB7GD  G,145.6875,DUP-,0.6000,DV,TONE,1.0Hz,YES,Approximate,57.2,-2.1,0:00
1,UK_DStar_VHF_Rpt,ACCRINGTON,NOR-DsRp,GB3RF ,GB3RF ,145.7750,DUP-,0.6000,DV,TONE,82.5Hz,YES,Approximate,53.7,-2.4,0:00
1,UK_DStar_VHF_Rpt,AIRDRIE,SCOT-DsRp,GB7DA  C,GB7DA  G,145.7750,DUP-,0.6000,DV,TONE,1.0Hz,YES,Approximate,55.9,-4.0,0:00
1,UK_DStar_VHF_Rpt,ALFRETON,MIDL-DsRp,GB3IN ,GB3IN ,145.6375,DUP-,0.6000,DV,TONE,71.9Hz,YES,Approximate,53.1,-1.5,0:00
1,UK_DStar_VHF_Rpt,ATTLEBOURGH,SE-DsRp,GB7NM  C,GB7NM  G,145.7375,DUP-,0.6000,DV,TONE,0.0Hz,YES,Approximate,52.5,1.0,0:00
1,UK_DStar_VHF_Rpt,BARNSLEY,NOR-DsRp,GB7NA  C,GB7NA  G,145.6750,DUP-,0.6000,DV,TONE,0.0Hz,YES,Approximate,53.6,-1.4,0:00
1,UK_DStar_VHF_Rpt,BARNSLEY,NOR-DsRp,GB3NA ,GB3NA ,145.6125,DUP-,0.6000,DV,TONE,71.9Hz,YES,Approximate,53.6,-1.4,0:00
1,UK_DStar_VHF_Rpt,BECKENHAM,SE-DsRp,GB7OK  C,GB7OK  G,145.7125,DUP-,0.6000,DV,TONE,3.0Hz,YES,Approximate,51.4,0.0,0:00
1,UK_DStar_VHF_Rpt,CARRICKFERGUS,NI-DsRp,GB7NI  C,GB7NI  G,145.7500,DUP-,0.6000,DV,TONE,1.0Hz,YES,Approximate,54.8,-5.8,0:00
1,UK_DStar_VHF_Rpt,CHIPPENHAM,SW-DsRp,GB7SW  C,GB7SW  G,145.6375,DUP-,0.6000,DV,TONE,2.0Hz,YES,Approximate,51.5,-2.2,0:00
1,UK_DStar_VHF_Rpt,CLACTON ON SEA,SE-DsRp,GB7TE  C,GB7TE  G,145.7750,DUP-,0.6000,DV,TONE,0.0Hz,YES,Approximate,51.8,1.2,0:00
1,UK_DStar_VHF_Rpt,COWBRIDGE,WM-DsRp,GB7RB  C,GB7RB  G,145.6750,DUP-,0.6000,DV,TONE,0.0Hz,YES,Approximate,51.5,-3.4,0:00
1,UK_DStar_VHF_Rpt,DUNS,SCOT-DsRp,GB3DU ,GB3DU ,145.7625,DUP-,0.6000,DV,TONE,1.0Hz,YES,Approximate,55.8,-2.4,0:00
1,UK_DStar_VHF_Rpt,DURHAM,NOR-DsRp,GB7PB  C,GB7PB  G,145.6625,DUP-,0.6000,DV,TONE,0.0Hz,YES,Approximate,54.7,-1.5,0:00
1,UK_DStar_VHF_Rpt,FAREHAM,SW-DsRp,GB7RN  C,GB7RN  G,145.6375,DUP-,0.6000,DV,TONE,0.0Hz,YES,Approximate,50.8,-1.2,0:00
1,UK_DStar_VHF_Rpt,GRIMSBY,MIDL-DsRp,GB7WA  C,GB7WA  G,145.6875,DUP-,0.6000,DV,TONE,2.0Hz,YES,Approximate,53.5,-0.1,0:00
1,UK_DStar_VHF_Rpt,HAWICK,SCOT-DsRp,GB3AI ,GB3AI ,145.7375,DUP-,0.6000,DV,TONE,3.0Hz,YES,Approximate,55.4,-2.7,0:00
1,UK_DStar_VHF_Rpt,HERNE BAY,SE-DsRp,GB3KI ,GB3KI ,145.6625,DUP-,0.6000,DV,TONE,103.5Hz,YES,Approximate,51.4,1.1,0:00
1,UK_DStar_VHF_Rpt,HERNE BAY,SE-DsRp,GB7IC  C,GB7IC  G,145.6625,DUP-,0.6000,DV,TONE,0.0Hz,YES,Approximate,51.4,1.1,0:00
